sample_name	sample_name_original	sample_type	collection_timestamp	country	depth_sample	description	elevation	emp500_principal_investigator	emp500_study_id	emp500_pi_study_id	emp500_title	empo_0	empo_1	empo_2	empo_3	empo_salinity	empo_v2_2	empo_v2_3a	empo_v2_3b	empo_v2_4a	empo_v2_4b	empo_4	env_biome	env_feature	env_material	env_package	geo_loc_name	host_subject_id	host_scientific_name	latitude	longitude	project_name	scientific_name
13114.rohwer.85.s025	Rohwer85.deep.sediment.GB5	sediment	11/16/02 0:00	Guatemala	3634.7	sediment from Guatemala Basin	0.0	Rohwer	85	Rohwer85	Iberia and Guatemala deep-sea sediments	EMP sample	Free-living	Saline	Sediment (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Sediment (saline)	Sediment (saline)	Sediment (saline)	marine benthic biome	marine benthic feature	sediment	sediment	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	GB5	not applicable	6.7365	-91.93433333	Deep marine sediments	sediment metagenome
13114.rohwer.85.s026	Rohwer85.deep.sediment.GB6	sediment	11/16/02 0:00	Guatemala	3634.7	sediment from Guatemala Basin	0.0	Rohwer	85	Rohwer85	Iberia and Guatemala deep-sea sediments	EMP sample	Free-living	Saline	Sediment (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Sediment (saline)	Sediment (saline)	Sediment (saline)	marine benthic biome	marine benthic feature	sediment	sediment	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	GB6	not applicable	6.7365	-91.93433333	Deep marine sediments	sediment metagenome
13114.rohwer.85.s027	Rohwer85.deep.sediment.GB7	sediment	11/16/02 0:00	Guatemala	3634.7	sediment from Guatemala Basin	0.0	Rohwer	85	Rohwer85	Iberia and Guatemala deep-sea sediments	EMP sample	Free-living	Saline	Sediment (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Sediment (saline)	Sediment (saline)	Sediment (saline)	marine benthic biome	marine benthic feature	sediment	sediment	Pacific Ocean:Northeast Pacific Ocean:Guatemala Basin	GB7	not applicable	6.7365	-91.93433333	Deep marine sediments	sediment metagenome
13114.rohwer.86.s001	Rohwer86.microbial.mat.MGN1	microbial mat	2002	Mexico	0	microbial mat (Lyngbya sp.) from Guerrero Negro, Mexico	0.0	Rohwer	86	Rohwer86	Mexico microbial mats	EMP sample	Free-living	Saline	Surface (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Surface (saline)	Surface (saline)	Surface (saline)	marine benthic biome	microbial mat	biofilm	microbial mat/biofilm	Mexico:State of Baja California Sur:Guerrero Negro	MGN1	not applicable	27.8	-114.05	Mexico mats and sediment	microbial mat metagenome
13114.rohwer.86.s002	Rohwer86.sediment.BBS1	sediment	2005	Mexico	0	sediment from Cuatro Cienegas Basin, Mexico	0.0	Rohwer	86	Rohwer86	Mexico microbial mats	EMP sample	Free-living	Saline	Sediment (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Sediment (saline)	Sediment (saline)	Sediment (saline)	marine benthic biome	marine benthic feature	sediment	sediment	Mexico:State of Coahuila de Zaragoza:Cuatro Cienegas Basin:Pozas Azules II	BBS1	not applicable	26.91666667	-102.1	Mexico mats and sediment	sediment metagenome
13114.rohwer.86.s003	Rohwer86.stromatolite.SRM1	stromatolite piece	7/15/05 0:00	Mexico	0	stromatolite from Cuatro Cienegas Basin, Mexico	0.0	Rohwer	86	Rohwer86	Mexico microbial mats	EMP sample	Free-living	Saline	Surface (saline)	Saline	Free-living (saline)	Free-living (saline)	Solid (saline)	Surface (saline)	Surface (saline)	Surface (saline)	marine benthic biome	stromatolite mat	biofilm	microbial mat/biofilm	Mexico:State of Coahuila de Zaragoza:Cuatro Cienegas Basin:Rio Mesquites	SRM1	not applicable	26.91666667	-102.1	Mexico mats and sediment	stromatolite metagenome
13114.schmidt.56.s015	Schmidt56.soil.Peru.7.1	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P1.Y7	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s016	Schmidt56.soil.Peru.7.2	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P2.Y7	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s017	Schmidt56.soil.Peru.7.3	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P3.Y7	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s018	Schmidt56.soil.Peru.7.4	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P4.Y7	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s019	Schmidt56.soil.Peru.25.1	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P1.Y25	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s020	Schmidt56.soil.Peru.25.2	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P2.Y25	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s021	Schmidt56.soil.Peru.25.3	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P3.Y25	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s022	Schmidt56.soil.Peru.25.4	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P4.Y25	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s023	Schmidt56.soil.Peru.85.1	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P1.Y85	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s024	Schmidt56.soil.Peru.85.2	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P2.Y85	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s025	Schmidt56.soil.Peru.85.3	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P3.Y85	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.schmidt.56.s026	Schmidt56.soil.Peru.85.4	soil	3/15/15 0:00	Peru	0.05	soil samples from high elevation sites post Puca Glacier retreat in Peru	5000.0	Schmidt	56	Schmidt56	Peru and Nepal alpine soils	EMP sample	Free-living	Non-saline	Soil (non-saline)	Non-saline	Free-living (non-saline)	Free-living (non-saline)	Solid (non-saline)	Soil (non-saline)	Soil (non-saline)	Soil (non-saline)	desert biome	montane desert	alpine soil	soil	Peru:Puca Glacier	Per1.P4.Y85	not applicable	-13.773333	-71.071389	Schmidt Nepal and Peru soils	soil metagenome
13114.stewart.26.s001	Stewart26.NH1410.water.1	seawater	06/02/2014 19:00	Mexico	1000	seawater passed through 0.2um filter	0.0	Stewart	26	Stewart26	Marine oxygen minimum zone water	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine pelagic biome	ocean water	ocean water	water	Mexico	NH1410_279	not applicable	20.99053	-107.99602	OMZ microbial nutrient cycling	marine metagenome
13114.stewart.26.s002	Stewart26.NH1410.water.2	seawater	5/23/14 13:00	Mexico	2800	seawater passed through 0.2um filter	0.0	Stewart	26	Stewart26	Marine oxygen minimum zone water	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine pelagic biome	ocean water	ocean water	water	Mexico	NH1410_146	not applicable	18.19901	-105.20327	OMZ microbial nutrient cycling	marine metagenome
13114.stewart.26.s003	Stewart26.NH1410.water.3	seawater	5/23/14 13:00	Mexico	1500	seawater passed through 0.2um filter	0.0	Stewart	26	Stewart26	Marine oxygen minimum zone water	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine pelagic biome	ocean water	ocean water	water	Mexico	NH1410_150	not applicable	18.19876	-105.20241	OMZ microbial nutrient cycling	marine metagenome
13114.stewart.26.s004	Stewart26.NH1410.water.4	seawater	5/26/14 15:00	Mexico	1200	seawater passed through 0.2um filter	0.0	Stewart	26	Stewart26	Marine oxygen minimum zone water	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine pelagic biome	ocean water	ocean water	water	Mexico	NH1410_196	not applicable	18.90088	-108.80202	OMZ microbial nutrient cycling	marine metagenome
13114.stewart.26.s005	Stewart26.NH1410.water.5	seawater	5/26/14 17:00	Mexico	200	seawater passed through 0.2um filter	0.0	Stewart	26	Stewart26	Marine oxygen minimum zone water	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine pelagic biome	ocean water	ocean water	water	Mexico	NH1410_202	not applicable	18.90048	-108.80282	OMZ microbial nutrient cycling	marine metagenome
13114.stewart.26.s006	Stewart26.NH1410.water.6	seawater	5/26/14 17:00	Mexico	120	seawater passed through 0.2um filter	0.0	Stewart	26	Stewart26	Marine oxygen minimum zone water	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine pelagic biome	ocean water	ocean water	water	Mexico	NH1410_204	not applicable	18.90049	-108.8029	OMZ microbial nutrient cycling	marine metagenome
13114.stewart.26.s007	Stewart26.NH1410.water.7	seawater	5/26/14 17:00	Mexico	60	seawater passed through 0.2um filter	0.0	Stewart	26	Stewart26	Marine oxygen minimum zone water	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine pelagic biome	ocean water	ocean water	water	Mexico	NH1410_206	not applicable	18.90039	-108.80332	OMZ microbial nutrient cycling	marine metagenome
13114.stewart.26.s008	Stewart26.NH1410.water.8	seawater	5/26/14 18:00	Mexico	2300	seawater passed through 0.2um filter	0.0	Stewart	26	Stewart26	Marine oxygen minimum zone water	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine pelagic biome	ocean water	ocean water	water	Mexico	NH1410_208	not applicable	18.90155	-108.80156	OMZ microbial nutrient cycling	marine metagenome
13114.zaneveld.9.s004	Zaneveld9.04.E11.3.Por.loba.1.20150502.T	coral tissue	05/02/2015 10:44	Panama	2.6	Coral Tissue from Porites lobata sampled from site Isla Saboga,Las Perlas,Panama as sample E11.3.Por.loba.1.20150502.T of the Global Coral Microbiome Project.	0.0	Zaneveld	9	Zaneveld9	Scleractinian corals	EMP sample	Host-associated	Animal	Animal secretion	Saline	Host-associated (saline)	Animal (saline)	Animal (saline)	Animal secretion (saline)	Animal secretion (saline)	Animal secretion (saline)	marine reef biome	coral reef	organic material	host-associated	Panama	E11.3.Por.loba.1.20150502.T	not applicable	8.6274667	-79.0547583	Co-evolution of scleractinian corals and their microbial symbionts	coral metagenome
13114.zaneveld.9.s005	Zaneveld9.05.E11.3.Por.loba.2.20150502.T	coral tissue	05/02/2015 11:08	Panama	2.6	Coral Tissue from Porites lobata sampled from site Isla Saboga,Las Perlas,Panama as sample E11.3.Por.loba.2.20150502.T of the Global Coral Microbiome Project.	0.0	Zaneveld	9	Zaneveld9	Scleractinian corals	EMP sample	Host-associated	Animal	Animal secretion	Saline	Host-associated (saline)	Animal (saline)	Animal (saline)	Animal secretion (saline)	Animal secretion (saline)	Animal secretion (saline)	marine reef biome	coral reef	organic material	host-associated	Panama	E11.3.Por.loba.2.20150502.T	not applicable	8.6274667	-79.0547583	Co-evolution of scleractinian corals and their microbial symbionts	coral metagenome
13114.zaneveld.9.s006	Zaneveld9.06.E11.3.Por.loba.3.20150502.T	coral tissue	05/02/2015 12:34	Panama	4	Coral Tissue from Porites lobata sampled from site Isla Saboga,Las Perlas,Panama as sample E11.3.Por.loba.3.20150502.T of the Global Coral Microbiome Project.	0.0	Zaneveld	9	Zaneveld9	Scleractinian corals	EMP sample	Host-associated	Animal	Animal secretion	Saline	Host-associated (saline)	Animal (saline)	Animal (saline)	Animal secretion (saline)	Animal secretion (saline)	Animal secretion (saline)	marine reef biome	coral reef	organic material	host-associated	Panama	E11.3.Por.loba.3.20150502.T	not applicable	8.6274667	-79.0547583	Co-evolution of scleractinian corals and their microbial symbionts	coral metagenome
13114.zaneveld.9.s010	Zaneveld9.10.E11.10.Poc.dami.1.20150502.T	coral tissue	05/02/2015 10:05	Panama	3.8	Coral Tissue from Pocillopora damicornis sampled from site Isla Saboga,Las Perlas,Panama as sample E11.10.Poc.dami.1.20150502.T of the Global Coral Microbiome Project.	0.0	Zaneveld	9	Zaneveld9	Scleractinian corals	EMP sample	Host-associated	Animal	Animal secretion	Saline	Host-associated (saline)	Animal (saline)	Animal (saline)	Animal secretion (saline)	Animal secretion (saline)	Animal secretion (saline)	marine reef biome	coral reef	organic material	host-associated	Panama	E11.10.Poc.dami.1.20150502.T	not applicable	8.6274667	-79.0547583	Co-evolution of scleractinian corals and their microbial symbionts	coral metagenome
13114.zaneveld.9.s011	Zaneveld9.11.E11.10.Poc.dami.2.20150502.T	coral tissue	05/02/2015 10:10	Panama	3.8	Coral Tissue from Pocillopora damicornis sampled from site Isla Saboga,Las Perlas,Panama as sample E11.10.Poc.dami.2.20150502.T of the Global Coral Microbiome Project.	0.0	Zaneveld	9	Zaneveld9	Scleractinian corals	EMP sample	Host-associated	Animal	Animal secretion	Saline	Host-associated (saline)	Animal (saline)	Animal (saline)	Animal secretion (saline)	Animal secretion (saline)	Animal secretion (saline)	marine reef biome	coral reef	organic material	host-associated	Panama	E11.10.Poc.dami.2.20150502.T	not applicable	8.6274667	-79.0547583	Co-evolution of scleractinian corals and their microbial symbionts	coral metagenome
13114.zaneveld.9.s012	Zaneveld9.12.E11.10.Poc.dami.3.20150502.T	coral tissue	05/02/2015 10:10	Panama	3.8	Coral Tissue from Pocillopora damicornis sampled from site Isla Saboga,Las Perlas,Panama as sample E11.10.Poc.dami.3.20150502.T of the Global Coral Microbiome Project.	0.0	Zaneveld	9	Zaneveld9	Scleractinian corals	EMP sample	Host-associated	Animal	Animal secretion	Saline	Host-associated (saline)	Animal (saline)	Animal (saline)	Animal secretion (saline)	Animal secretion (saline)	Animal secretion (saline)	marine reef biome	coral reef	organic material	host-associated	Panama	E11.10.Poc.dami.3.20150502.T	not applicable	8.6274667	-79.0547583	Co-evolution of scleractinian corals and their microbial symbionts	coral metagenome
13114.zaneveld.9.s022	Zaneveld9.22.E11.Water.1.20150502.H2O	seawater	05/01/2015 11:09	Panama	3.8	Reef Water sampled from site Isla Contadora,Las Perlas,Panama as sample E11.Water.1.20150501 of the Global Coral Microbiome Project.	0.0	Zaneveld	9	Zaneveld9	Scleractinian corals	EMP sample	Free-living	Saline	Water (saline)	Saline	Free-living (saline)	Free-living (saline)	Aqueous (saline)	Water (saline)	Water (saline)	Water (saline)	marine reef biome	coral reef	sea water	host-associated	Panama	E11.Water.1.20150502	not applicable	8.6288111	-79.0417556	Co-evolution of scleractinian corals and their microbial symbionts	seawater metagenome
